carat,cut,color,clarity,depth,table,price,x,y,z,volume
1.01,Ideal,F,I1,62.2,54,3377,6.42,6.44,4,165.3792
1.01,Ideal,F,I1,62.2,54,3439,6.44,6.42,4,165.3792
1.01,Premium,F,SI2,62.2,59,4416,6.41,6.45,4,165.378
1.03,Ideal,I,SI1,62.2,58,4434,6.45,6.41,4,165.378
1.01,Premium,F,SI2,62.2,59,4497,6.45,6.41,4,165.378
1.03,Premium,F,SI1,62.2,59,4942,6.45,6.41,4,165.378
1.02,Ideal,E,SI1,62.2,57,5553,6.41,6.45,4,165.378
1.02,Ideal,E,SI1,62.2,57,5655,6.45,6.41,4,165.378
1.03,Ideal,G,SI1,62.2,59,5684,6.41,6.45,4,165.378
1.02,Premium,F,SI1,62.2,58,5089,6.4,6.46,4,165.376
1.02,Ideal,G,VS1,62.2,56,6683,6.46,6.4,4,165.376
1,Premium,D,VS1,62.2,55,8333,6.46,6.4,4,165.376
1.01,Ideal,F,VS1,62.2,56,9077,6.4,6.46,4,165.376
1.01,Ideal,F,VS1,62.2,57,7122,6.38,6.48,4,165.3696
1.01,Good,H,SI1,63.4,58,4116,6.37,6.41,4.05,165.368385
1.01,Very Good,H,SI1,63.4,58,4191,6.41,6.37,4.05,165.368385
1.02,Good,D,SI2,63.4,59,4633,6.37,6.41,4.05,165.368385
1.02,Very Good,D,SI2,63.4,59,4718,6.41,6.37,4.05,165.368385
1.02,Good,J,SI2,63.4,56,3534,6.36,6.42,4.05,165.36636
1.02,Very Good,J,SI2,63.4,56,3599,6.42,6.36,4.05,165.36636
1.03,Very Good,J,VS1,63.4,58,4292,6.36,6.42,4.05,165.36636
1.02,Good,H,SI1,63.4,57,4796,6.36,6.42,4.05,165.36636
1.02,Very Good,H,SI1,63.4,57,4884,6.42,6.36,4.05,165.36636
1.01,Ideal,F,SI2,60.4,59,5020,6.48,6.51,3.92,165.364416
1.02,Very Good,E,I1,60.4,62,3455,6.47,6.52,3.92,165.362848
1.02,Premium,E,I1,60.4,62,3519,6.52,6.47,3.92,165.362848
1.01,Very Good,I,SI1,59.7,60,4186,6.49,6.55,3.89,165.361955
1.01,Very Good,F,SI1,59.7,61,4899,6.49,6.55,3.89,165.361955
1.01,Premium,F,SI1,59.7,61,4989,6.55,6.49,3.89,165.361955
1.01,Very Good,F,VVS1,63.4,55,8706,6.44,6.34,4.05,165.35988
1,Premium,E,SI1,59.7,57,5322,6.56,6.48,3.89,165.359232
1.01,Very Good,E,VVS2,63.4,57,8797,6.45,6.33,4.05,165.355425
1.01,Ideal,I,VS1,61.1,54,5182,6.46,6.48,3.95,165.35016
1.02,Ideal,J,VS2,61.1,58,4397,6.45,6.49,3.95,165.348975
1.02,Very Good,J,SI2,61.1,61,3601,6.44,6.5,3.95,165.347
1.01,Very Good,E,SI1,61.1,57,4563,6.44,6.5,3.95,165.347
1,Very Good,G,VS2,61.1,55,7743,6.44,6.5,3.95,165.347
1.01,Ideal,I,VS1,62.9,56,4118,6.43,6.38,4.03,165.324302
1.01,Very Good,I,VS2,62.9,56,5067,6.38,6.43,4.03,165.324302
1,Very Good,F,VS1,62.9,56,6468,6.38,6.43,4.03,165.324302
1.03,Premium,D,VS2,62.9,59,7718,6.43,6.38,4.03,165.324302
1.01,Ideal,G,SI1,61.8,55,5141,6.46,6.43,3.98,165.320444
1.02,Ideal,H,SI1,61.8,57,6264,6.43,6.46,3.98,165.320444
1.01,Ideal,G,VS2,61.7,56,6439,6.43,6.46,3.98,165.320444
1.01,Premium,F,SI2,61.8,54,3507,6.47,6.42,3.98,165.318852
1.02,Premium,H,SI1,61.8,56,4102,6.47,6.42,3.98,165.318852
1.01,Very Good,D,SI2,61.8,57,4260,6.42,6.47,3.98,165.318852
1.01,Premium,D,SI2,61.8,57,4338,6.47,6.42,3.98,165.318852
1.03,Premium,E,SI2,61.8,59,4758,6.42,6.47,3.98,165.318852
1.03,Premium,E,SI2,61.8,59,4845,6.47,6.42,3.98,165.318852
1.01,Ideal,I,VVS1,61.7,56,5478,6.42,6.47,3.98,165.318852
1.02,Ideal,H,SI1,61.8,57,4558,6.48,6.41,3.98,165.316464
1.01,Very Good,D,SI2,62.9,60,4760,6.35,6.46,4.03,165.31463
1.04,Very Good,I,SI1,64.1,57,4190,6.35,6.38,4.08,165.29304
1.03,Very Good,H,VS2,59.9,59,5620,6.5,6.52,3.9,165.282
1.01,Ideal,I,VS2,59.9,61,4685,6.49,6.53,3.9,165.28083
1.02,Ideal,G,VS1,62.4,57,7440,6.41,6.43,4.01,165.277363
1.02,Premium,H,SI2,62.5,54,4284,6.44,6.4,4.01,165.27616
1.01,Ideal,I,SI1,62.5,56,4413,6.4,6.44,4.01,165.27616
1.01,Very Good,F,VS2,62.5,56,6083,6.4,6.44,4.01,165.27616
1.01,Premium,E,VS2,62.5,58,6606,6.44,6.4,4.01,165.27616
1,Ideal,G,VS1,62.5,54,7648,6.4,6.44,4.01,165.27616
1.04,Very Good,I,SI1,62.5,62,4175,6.39,6.45,4.01,165.274155
1.04,Premium,I,SI1,62.5,62,4252,6.45,6.39,4.01,165.274155
1.05,Good,F,SI2,63.6,59,3989,6.4,6.36,4.06,165.25824
1.04,Good,F,SI1,63.6,59,5871,6.4,6.36,4.06,165.25824
1.02,Premium,G,SI1,61.3,58,4341,6.47,6.45,3.96,165.25674
1.01,Good,E,VS1,63.6,57,7665,6.41,6.35,4.06,165.25621
1.01,Good,F,SI2,61.3,62,4028,6.44,6.48,3.96,165.255552
1.01,Premium,H,VS2,61.3,59,4959,6.44,6.48,3.96,165.255552
1.01,Premium,G,SI1,61.3,59,5006,6.48,6.44,3.96,165.255552
1.02,Premium,I,SI2,62,59,3856,6.45,6.42,3.99,165.22191
1.02,Ideal,J,VS2,62,56,4485,6.42,6.45,3.99,165.22191
1,Ideal,G,SI2,62,53,4551,6.42,6.45,3.99,165.22191
1.02,Ideal,H,VVS2,62,56,6613,6.42,6.45,3.99,165.22191
1.02,Ideal,F,VS2,62,56,7326,6.42,6.45,3.99,165.22191
1.01,Very Good,G,SI2,62,58,3682,6.41,6.46,3.99,165.220314
1.03,Premium,I,SI1,62,58,3749,6.46,6.41,3.99,165.220314
1.01,Very Good,D,SI2,62,57,5656,6.41,6.46,3.99,165.220314
1,Ideal,E,VS2,62,56,6871,6.46,6.41,3.99,165.220314
1.01,Ideal,F,SI1,62,56,6907,6.41,6.46,3.99,165.220314
1.02,Good,G,VS2,63.2,57,6058,6.38,6.41,4.04,165.219032
1.02,Very Good,G,VS2,63.2,57,6169,6.41,6.38,4.04,165.219032
1,Very Good,F,VVS2,63.2,56,8467,6.42,6.37,4.04,165.217416
1.05,Good,E,SI2,63.2,59,4204,6.36,6.43,4.04,165.214992
1.05,Very Good,E,SI2,63.2,59,4281,6.43,6.36,4.04,165.214992
1.01,Very Good,I,SI1,62,54,3888,6.36,6.51,3.99,165.200364
1.02,Very Good,F,SI2,60.2,61,4162,6.48,6.52,3.91,165.195936
1.02,Premium,F,SI2,60.2,61,4238,6.52,6.48,3.91,165.195936
1.02,Very Good,H,VS2,60.2,62,5335,6.46,6.54,3.91,165.191244
1.02,Premium,H,VS2,60.2,62,5432,6.54,6.46,3.91,165.191244
1.01,Premium,E,SI2,60.8,58,4089,6.49,6.46,3.94,165.186076
1,Very Good,G,VS2,60.8,55,6296,6.46,6.49,3.94,165.186076
1.02,Premium,F,VS1,60.8,59,7539,6.46,6.49,3.94,165.186076
1.02,Premium,F,VS1,60.8,59,7677,6.49,6.46,3.94,165.186076
1.01,Very Good,D,SI2,60.8,61,4260,6.45,6.5,3.94,165.1845
1.01,Premium,D,SI2,60.8,61,4338,6.5,6.45,3.94,165.1845
1.01,Premium,G,VS1,60.8,58,6499,6.44,6.51,3.94,165.182136
1,Ideal,D,SI1,62.7,56,5755,6.39,6.43,4.02,165.172554
1.01,Ideal,G,VS2,62.7,56,6108,6.43,6.39,4.02,165.172554
1.01,Very Good,I,SI1,64.4,54,4805,6.31,6.4,4.09,165.17056
1.01,Premium,G,SI2,62.7,58,4327,6.44,6.38,4.02,165.170544
1,Ideal,F,SI1,62.7,57,5221,6.44,6.38,4.02,165.170544
1.01,Ideal,F,SI1,62.7,54,6039,6.38,6.44,4.02,165.170544
1.02,Ideal,E,VS2,62.7,56,6732,6.38,6.44,4.02,165.170544
1.02,Ideal,E,VS2,62.7,56,6854,6.44,6.38,4.02,165.170544
1.02,Ideal,J,VVS2,62.7,57,3451,6.45,6.37,4.02,165.16773
1.01,Very Good,G,VS1,62.7,56,6326,6.36,6.46,4.02,165.164112
1.01,Premium,G,VS1,62.7,56,6441,6.46,6.36,4.02,165.164112
1,Very Good,H,SI2,61.6,58,4172,6.43,6.47,3.97,165.160337
1.01,Very Good,D,SI1,61.6,60,5443,6.43,6.47,3.97,165.160337
1.01,Premium,D,SI1,61.6,60,5543,6.47,6.43,3.97,165.160337
1.01,Premium,F,SI1,62.3,58,5345,6.44,6.41,4,165.1216
1.02,Ideal,F,SI1,62.3,56,5773,6.41,6.44,4,165.1216
1.02,Ideal,D,SI1,62.3,57,6191,6.41,6.44,4,165.1216
1.02,Very Good,I,SI2,63.4,57,3769,6.37,6.4,4.05,165.1104
1.02,Premium,E,VS2,60.4,58,6397,6.51,6.47,3.92,165.109224
1.01,Very Good,E,VS2,60.4,58,6666,6.47,6.51,3.92,165.109224
1.01,Premium,E,VS2,60.4,58,6787,6.51,6.47,3.92,165.109224
1.01,Premium,D,SI2,60.4,60,4694,6.52,6.46,3.92,165.107264
1.01,Premium,F,VS2,60.4,59,6271,6.52,6.46,3.92,165.107264
1,Very Good,H,SI2,59.7,58,4273,6.48,6.55,3.89,165.10716
1.01,Good,F,SI1,63.4,55,4339,6.35,6.42,4.05,165.10635
1.01,Very Good,E,SI2,63.4,58,3801,6.43,6.34,4.05,165.10311
1.01,Premium,H,VS1,61.1,58,5416,6.45,6.48,3.95,165.0942
1.01,Premium,H,VS1,61.1,58,5515,6.48,6.45,3.95,165.0942
1.01,Very Good,G,IF,61.1,56,9063,6.45,6.48,3.95,165.0942
1.03,Premium,J,SI1,61.1,61,3749,6.49,6.44,3.95,165.09262
1,Very Good,E,VS1,63,56,7453,6.39,6.41,4.03,165.068397
1.02,Very Good,F,SI2,63,58,4319,6.37,6.43,4.03,165.065173
1.02,Premium,F,SI2,63,58,4398,6.43,6.37,4.03,165.065173
1,Very Good,G,VVS2,63,54,8138,6.37,6.43,4.03,165.065173
1.01,Ideal,F,VS2,61.7,55,7347,6.42,6.46,3.98,165.063336
1.01,Premium,F,VVS2,61.8,59,8319,6.46,6.42,3.98,165.063336
1.01,Premium,F,VVS2,61.8,59,8470,6.46,6.42,3.98,165.063336
1.02,Ideal,G,VVS2,61.8,56,9286,6.42,6.46,3.98,165.063336
1.03,Premium,H,SI1,61.8,58,3945,6.47,6.41,3.98,165.061346
1.01,Very Good,G,VVS1,61.8,59,8373,6.47,6.41,3.98,165.061346
1.01,Ideal,E,SI1,61.8,57,5262,6.39,6.49,3.98,165.054978
1.01,Good,H,VS2,64.2,55,4839,6.38,6.34,4.08,165.032736
1.01,Premium,D,VS2,60,59,7508,6.53,6.48,3.9,165.02616
1.02,Very Good,E,SI1,60.6,59,5424,6.47,6.49,3.93,165.021879
1.01,Premium,F,SI2,60.6,60,4121,6.46,6.5,3.93,165.0207
1,Premium,F,VS2,60.6,59,5718,6.5,6.46,3.93,165.0207
1.02,Premium,G,SI2,62.5,58,4471,6.4,6.43,4.01,165.01952
1.02,Premium,G,SI2,62.5,58,4552,6.43,6.4,4.01,165.01952
1.01,Ideal,G,VS2,62.5,57,6019,6.43,6.4,4.01,165.01952
1.01,Premium,F,VS2,62.5,58,6271,6.43,6.4,4.01,165.01952
1,Premium,G,VS2,59.3,60,6048,6.55,6.51,3.87,165.018735
1.01,Very Good,D,VS2,60.6,56,7001,6.45,6.51,3.93,165.018735
1.01,Premium,I,VS2,62.5,58,4592,6.39,6.44,4.01,165.017916
1.01,Premium,I,VS2,62.5,58,4676,6.44,6.39,4.01,165.017916
1.01,Very Good,E,VS2,59.3,59,5760,6.5,6.56,3.87,165.0168
1.01,Ideal,I,SI2,62.5,57,4336,6.38,6.45,4.01,165.01551
1.01,Ideal,H,SI1,62.5,56,5589,6.38,6.45,4.01,165.01551
1,Ideal,E,VS2,62.5,57,7177,6.38,6.45,4.01,165.01551
1.04,Very Good,F,VVS2,62.5,58,8785,6.37,6.46,4.01,165.012302
1.04,Premium,F,VVS2,62.5,58,8946,6.46,6.37,4.01,165.012302
1.01,Very Good,F,SI1,61.3,59,4969,6.44,6.47,3.96,165.000528
1.01,Ideal,F,VS1,61.3,57,7465,6.44,6.47,3.96,165.000528
1.01,Ideal,F,VS1,61.3,57,7602,6.47,6.44,3.96,165.000528
1.01,Good,F,SI1,63.7,57,4899,6.35,6.4,4.06,164.9984
1.01,Good,F,SI1,63.7,57,4989,6.4,6.35,4.06,164.9984
1,Very Good,E,SI1,63.7,55,5413,6.35,6.4,4.06,164.9984
1.02,Very Good,F,SI1,63.7,56,5701,6.34,6.41,4.06,164.995964
1,Premium,D,SI1,61.3,61,5880,6.52,6.39,3.96,164.984688
1.03,Ideal,G,SI2,62.1,57,4470,6.44,6.42,3.99,164.965752
1.01,Ideal,F,VS1,62.1,54,8133,6.42,6.44,3.99,164.965752
1.01,Very Good,I,SI2,62.1,56,3770,6.41,6.45,3.99,164.964555
1.01,Ideal,G,SI2,62.1,59,4209,6.45,6.41,3.99,164.964555
1.01,Ideal,E,VS2,62.1,56,7355,6.41,6.45,3.99,164.964555
1.02,Very Good,I,SI2,63.2,60,4155,6.37,6.41,4.04,164.960068
1.02,Good,E,SI2,63.2,56,4712,6.37,6.41,4.04,164.960068
1.02,Very Good,G,SI1,63.2,59,4718,6.41,6.37,4.04,164.960068
1,Premium,H,SI1,62.1,56,4788,6.48,6.38,3.99,164.956176
1.03,Very Good,G,I1,63.2,58,2988,6.44,6.34,4.04,164.951584
1.01,Premium,G,VS2,62.1,54,6108,6.5,6.36,3.99,164.9466
1.01,Ideal,J,SI1,60.2,59,4194,6.48,6.51,3.91,164.942568
1.02,Premium,I,VS2,59.5,59,4662,6.54,6.5,3.88,164.9388
1.01,Very Good,E,VS2,59.5,60,7290,6.5,6.54,3.88,164.9388
1.01,Good,H,SI1,59.5,62,5197,6.49,6.55,3.88,164.93686
1.01,Very Good,E,SI1,59.5,60,5224,6.49,6.55,3.88,164.93686
1.01,Very Good,E,SI2,60.9,58,4566,6.45,6.49,3.94,164.93037
1.02,Very Good,F,VVS2,60.9,56,9205,6.44,6.5,3.94,164.9284
1.02,Very Good,H,SI2,60.9,58,4039,6.41,6.53,3.94,164.917762
1.02,Premium,H,SI2,60.9,58,4113,6.53,6.41,3.94,164.917762
1.03,Premium,H,SI1,60,60,4603,6.41,6.4,4.02,164.91648
1.01,Very Good,G,IF,62.8,57,8621,6.39,6.42,4.02,164.915676
1.01,Ideal,G,IF,62.8,57,8778,6.42,6.39,4.02,164.915676
1.03,Premium,H,SI2,62.7,62,3749,6.43,6.38,4.02,164.914068
1,Premium,G,VVS2,62.8,59,7840,6.43,6.38,4.02,164.914068
1,Very Good,F,SI2,62.8,57,4081,6.37,6.44,4.02,164.911656
1,Premium,F,SI2,62.8,57,4155,6.44,6.37,4.02,164.911656
1.02,Ideal,G,VS2,62.8,57,6418,6.36,6.45,4.02,164.90844
1.03,Premium,F,SI2,61.6,58,4503,6.43,6.46,3.97,164.905066
1.03,Premium,F,SI2,61.6,58,4586,6.46,6.43,3.97,164.905066
1.01,Ideal,G,VS2,61.6,56,6239,6.43,6.46,3.97,164.905066
1.01,Ideal,G,VS2,61.6,56,6353,6.46,6.43,3.97,164.905066
1.01,Ideal,E,VS2,61.6,57,7198,6.43,6.46,3.97,164.905066
1.01,Very Good,D,SI1,61.6,59,5815,6.42,6.47,3.97,164.903478
1.01,Premium,D,SI1,61.6,58,5939,6.47,6.42,3.97,164.903478
1,Very Good,F,VS2,61.6,56,6013,6.42,6.47,3.97,164.903478
1.01,Very Good,G,VS2,61.6,60,6406,6.42,6.47,3.97,164.903478
1.02,Very Good,H,VS1,62.8,59,5598,6.34,6.47,4.02,164.899596
1.02,Ideal,D,SI1,61.7,56,7564,6.4,6.49,3.97,164.89792
1.03,Good,F,VS2,63.9,59,6543,6.35,6.38,4.07,164.88791
1.03,Good,F,VS2,63.9,59,6662,6.38,6.35,4.07,164.88791
1.04,Good,E,SI2,62.3,62,4290,6.4,6.44,4,164.864
1.01,Premium,I,SI1,62.3,58,4355,6.44,6.4,4,164.864
1.01,Ideal,J,VS2,62.3,55,4425,6.4,6.44,4,164.864
1.02,Premium,G,SI1,62.3,59,4633,6.4,6.44,4,164.864
1.02,Premium,G,SI1,62.3,59,4718,6.44,6.4,4,164.864
1.01,Ideal,F,SI1,62.3,57,4829,6.4,6.44,4,164.864
1.01,Premium,H,SI1,62.3,58,5090,6.44,6.4,4,164.864
1.03,Ideal,I,SI2,62.3,59,4162,6.39,6.45,4,164.862
1.03,Very Good,F,VS2,62.3,59,6153,6.39,6.45,4,164.862
1.01,Very Good,E,VS2,62.3,58,6310,6.39,6.45,4,164.862
1,Very Good,G,VVS2,62.3,58,7528,6.39,6.45,4,164.862
1.02,Premium,F,SI1,62.3,58,5301,6.38,6.46,4,164.8592
1.02,Premium,F,SI1,62.3,58,5398,6.46,6.38,4,164.8592
1,Very Good,F,VS1,59.8,58,7710,6.49,6.53,3.89,164.857033
1.01,Ideal,H,SI1,60.4,58,5200,6.47,6.5,3.92,164.8556
1,Premium,H,VS2,60.4,58,4984,6.51,6.46,3.92,164.854032
1,Premium,D,VS2,59.8,58,7392,6.55,6.47,3.89,164.852365
1.01,Very Good,F,VVS2,59.8,58,8212,6.47,6.55,3.89,164.852365
1,Good,E,SI2,63.5,54,4400,6.35,6.41,4.05,164.849175
1,Very Good,E,SI2,63.5,54,4480,6.41,6.35,4.05,164.849175
1.01,Very Good,G,VS1,62.3,60,6368,6.35,6.49,4,164.846
1.01,Premium,H,VS2,61.2,59,4959,6.45,6.47,3.95,164.839425
1.01,Premium,F,SI2,61.1,57,3903,6.48,6.44,3.95,164.83824
1,Premium,E,SI2,61.1,58,4620,6.44,6.48,3.95,164.83824
1.01,Ideal,H,SI2,61.1,56,4693,6.44,6.48,3.95,164.83824
1,Premium,E,SI2,61.1,58,4704,6.48,6.44,3.95,164.83824
1.01,Ideal,G,SI1,61.1,58,5497,6.43,6.49,3.95,164.836265
1,Ideal,F,SI1,63,56,5656,6.41,6.38,4.03,164.810074
1.03,Very Good,I,SI1,63,55,4848,6.37,6.42,4.03,164.808462
1.01,Premium,E,SI1,63,61,5077,6.42,6.37,4.03,164.808462
1.01,Premium,G,VS2,63,58,5741,6.42,6.37,4.03,164.808462
1.03,Very Good,D,SI2,61.8,60,4478,6.42,6.45,3.98,164.80782
1.03,Premium,D,SI2,61.8,60,4560,6.45,6.42,3.98,164.80782
1.01,Ideal,G,VS2,61.8,56,5999,6.42,6.45,3.98,164.80782
1.01,Ideal,G,VS2,61.8,56,6108,6.45,6.42,3.98,164.80782
1.01,Ideal,G,SI1,61.8,57,4588,6.41,6.46,3.98,164.806228
1.02,Premium,G,IF,61.8,59,8489,6.41,6.46,3.98,164.806228
1.02,Premium,G,IF,61.8,59,8643,6.46,6.41,3.98,164.806228
1.01,Ideal,F,VS1,61.8,57,8860,6.41,6.46,3.98,164.806228
1.01,Premium,F,VS2,63,58,6097,6.43,6.36,4.03,164.806044
1.02,Premium,G,SI2,61.8,58,3496,6.47,6.4,3.98,164.80384
1.01,Very Good,H,SI1,61.8,61,4432,6.4,6.47,3.98,164.80384
1.01,Premium,H,SI1,61.8,61,4513,6.47,6.4,3.98,164.80384
1.01,Good,E,SI2,63.9,55,4440,6.38,6.33,4.08,164.772432
1.01,Premium,E,SI2,60,61,4921,6.53,6.47,3.9,164.77149
1.01,Premium,E,SI1,60,59,5973,6.53,6.47,3.9,164.77149
1,Premium,G,VS2,60,59,6451,6.54,6.46,3.9,164.76876
1,Premium,F,VS2,60.7,57,7168,6.5,6.45,3.93,164.76525
1.02,Ideal,G,SI2,62.6,58,4363,6.42,6.4,4.01,164.76288
1,Premium,E,SI2,62.6,56,4077,6.43,6.39,4.01,164.761677
1.01,Ideal,H,SI1,62.6,55,4749,6.39,6.43,4.01,164.761677
1.01,Ideal,H,SI1,62.6,55,4836,6.43,6.39,4.01,164.761677
1.02,Ideal,G,VS2,62.6,58,5915,6.43,6.39,4.01,164.761677
1.02,Premium,G,VS2,62.6,59,5978,6.39,6.43,4.01,164.761677
1.01,Very Good,E,VS2,62.6,56,6043,6.39,6.43,4.01,164.761677
1.02,Premium,G,VS2,62.6,59,6087,6.43,6.39,4.01,164.761677
1.01,Ideal,F,VS2,62.6,57,6501,6.39,6.43,4.01,164.761677
1.02,Ideal,F,SI2,62.6,56,4851,6.38,6.44,4.01,164.759672
1.01,Ideal,H,SI1,62.6,55,4965,6.44,6.38,4.01,164.759672
1.02,Very Good,G,VS1,62.6,58,6301,6.36,6.46,4.01,164.753256
1,Ideal,G,SI2,62.3,56,4861,6.46,6.44,3.96,164.745504
1.01,Very Good,G,VS2,61.4,59,5944,6.42,6.48,3.96,164.742336
1.02,Premium,F,VS1,61.4,59,6238,6.48,6.42,3.96,164.742336
1.02,Good,F,VS1,63.7,57,7068,6.35,6.39,4.06,164.74059
1.02,Good,F,VS1,63.7,57,7197,6.39,6.35,4.06,164.74059
1.02,Ideal,F,SI2,62.1,56,4162,6.41,6.44,3.99,164.708796
1.02,Ideal,F,SI2,62.1,56,4238,6.44,6.41,3.99,164.708796
1.01,Ideal,G,VS2,62,54.9,6295,6.41,6.44,3.99,164.708796
1.02,Ideal,H,I1,62.1,56,3915,6.4,6.45,3.99,164.7072
1.02,Ideal,H,I1,62.1,56,3987,6.45,6.4,3.99,164.7072
1.01,Ideal,E,SI1,62.1,57,5372,6.4,6.45,3.99,164.7072
1.01,Ideal,G,VS2,62.1,57,6734,6.4,6.45,3.99,164.7072
1.02,Ideal,G,VS1,62.1,58,6857,6.4,6.45,3.99,164.7072
1.01,Good,H,SI1,63.3,58,4559,6.37,6.4,4.04,164.70272
1.01,Very Good,H,SI1,63.3,58,4642,6.4,6.37,4.04,164.70272
1.02,Good,F,VS2,63.3,59,6479,6.37,6.4,4.04,164.70272
1.02,Very Good,F,VS2,63.3,59,6597,6.4,6.37,4.04,164.70272
1.01,Ideal,H,SI1,62.1,56,4886,6.38,6.47,3.99,164.701614
1.01,Very Good,H,SI1,63.3,57,4707,6.41,6.36,4.04,164.701104
1.01,Good,E,VVS2,63.3,55,8976,6.36,6.41,4.04,164.701104
1.01,Very Good,E,VVS2,63.3,55,9140,6.41,6.36,4.04,164.701104
1.01,Very Good,G,SI2,63.2,58,3275,6.42,6.35,4.04,164.69868
1.01,Very Good,H,SI1,60.2,60,4617,6.5,6.48,3.91,164.6892
1.01,Fair,J,VS2,59.6,62,3886,6.54,6.49,3.88,164.685048
1,Premium,F,SI2,60.2,62,3858,6.53,6.45,3.91,164.683335
1.01,Ideal,F,VS2,60.9,57,6787,6.48,6.45,3.94,164.67624
1.02,Ideal,H,VVS2,60.9,57,4798,6.49,6.44,3.94,164.674664
1.02,Very Good,I,SI2,62.8,56,3980,6.42,6.38,4.02,164.657592
1.01,Ideal,I,VS1,62.8,57,3991,6.42,6.38,4.02,164.657592
1.01,Very Good,G,VVS2,62.8,58,7234,6.38,6.42,4.02,164.657592
1.02,Very Good,H,SI1,62.8,58,4932,6.37,6.43,4.02,164.655582
1.01,Very Good,E,VS2,62.9,57,6488,6.37,6.43,4.02,164.655582
1,Ideal,G,VVS2,62.8,57,7979,6.37,6.43,4.02,164.655582
1,Ideal,E,SI1,61.6,55,5880,6.45,6.43,3.97,164.649795
1.01,Good,D,VS2,61.6,61,6429,6.43,6.45,3.97,164.649795
1.01,Ideal,I,I1,61.6,56,2416,6.45,6.43,3.97,164.649795
1.01,Ideal,D,SI2,61.6,57,4916,6.42,6.46,3.97,164.648604
1.01,Ideal,D,SI2,61.6,57,5006,6.46,6.42,3.97,164.648604
1,Premium,E,VVS2,61.6,59,8888,6.42,6.46,3.97,164.648604
1,Premium,E,VVS2,61.6,59,9050,6.46,6.42,3.97,164.648604
1,Premium,H,SI2,62.8,60,3080,6.46,6.34,4.02,164.644728
1.03,Very Good,G,SI2,63.9,59,4769,6.33,6.39,4.07,164.626209
1.02,Ideal,F,SI2,62.4,57,4319,6.4,6.43,4,164.608
1.02,Ideal,F,SI2,62.4,57,4398,6.43,6.4,4,164.608
1,Premium,H,VS1,62.4,58,4950,6.43,6.4,4,164.608
1,Ideal,D,VS1,62.4,55,7966,6.4,6.43,4,164.608
1.01,Very Good,G,SI1,62.4,58,4653,6.39,6.44,4,164.6064
1.01,Ideal,G,VS1,62.4,56,6672,6.39,6.44,4,164.6064
1.01,Ideal,G,VS1,62.4,56,6794,6.44,6.39,4,164.6064
1.01,Ideal,D,VS2,59.8,56,6999,6.49,6.52,3.89,164.604572
1.01,Ideal,D,VS2,59.8,56,7127,6.52,6.49,3.89,164.604572
1.03,Very Good,F,SI2,62.4,59,4503,6.38,6.45,4,164.604
1.03,Premium,F,SI2,62.4,59,4586,6.45,6.38,4,164.604
1,Premium,F,SI2,59.8,58,3640,6.53,6.48,3.89,164.603016
1.01,Premium,E,SI1,60.5,62,5226,6.5,6.46,3.92,164.6008
1,Premium,G,SI1,60.5,61,5152,6.51,6.45,3.92,164.59884
1.02,Ideal,G,VS2,62.4,57,5346,6.47,6.36,4,164.5968
1.01,Very Good,G,VS1,60.5,60,6239,6.44,6.52,3.92,164.596096
1.01,Premium,G,VS1,60.5,60,6353,6.52,6.44,3.92,164.596096
1.02,Good,H,SI1,63.5,58,4604,6.36,6.39,4.05,164.59362
1.02,Very Good,H,SI1,63.5,58,4688,6.39,6.36,4.05,164.59362
1.01,Very Good,G,VS2,63.5,57,6291,6.36,6.39,4.05,164.59362
1.02,Good,F,SI1,63.5,57,4594,6.35,6.4,4.05,164.592
1.02,Very Good,F,SI1,63.5,57,4678,6.4,6.35,4.05,164.592
1.01,Ideal,D,SI1,61.2,57,5443,6.44,6.47,3.95,164.58386
1.01,Ideal,D,SI1,61.2,57,5543,6.47,6.44,3.95,164.58386
1.01,Ideal,H,SI1,61.2,56,5664,6.44,6.47,3.95,164.58386
1,Ideal,J,VS1,61.1,57,4466,6.43,6.48,3.95,164.58228
1.01,Ideal,H,SI1,61.2,58,4943,6.42,6.49,3.95,164.57991
1.01,Good,F,VS1,61.2,56,6825,6.42,6.49,3.95,164.57991
1,Premium,F,VS2,60.5,59,6640,6.57,6.39,3.92,164.570616
1.03,Very Good,G,SI2,63.1,58,4060,6.41,6.37,4.03,164.551751
1.01,Good,H,SI1,63.1,60,4432,6.37,6.41,4.03,164.551751
1.01,Very Good,H,SI1,63.1,60,4513,6.41,6.37,4.03,164.551751
1.03,Very Good,G,SI1,63.1,58,4903,6.41,6.37,4.03,164.551751
1.01,Very Good,F,VS2,63.1,56,6267,6.41,6.37,4.03,164.551751
1,Good,E,VS2,63.1,56,6776,6.37,6.41,4.03,164.551751
1.01,Premium,I,SI2,61.9,58,3054,6.45,6.41,3.98,164.55111
1,Ideal,J,VS2,61.9,54,4278,6.41,6.45,3.98,164.55111
1,Premium,G,VS2,61.9,58,6160,6.45,6.41,3.98,164.55111
1.01,Ideal,G,VS2,61.9,56,6439,6.41,6.45,3.98,164.55111
1.01,Premium,G,VVS2,61.9,60,6470,6.45,6.41,3.98,164.55111
1.01,Premium,G,VVS2,61.9,59,7821,6.41,6.45,3.98,164.55111
1.01,Premium,G,VVS2,61.9,59,7964,6.45,6.41,3.98,164.55111
